#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
01/01/2022      30 	       47.79 	21.86 	5.5 	      68.55 	807
01/02/2022      37 	      46.21 	52.27 	11.9 	67.46 	993
01/19/2022      71    	      84.52 	207.30 	17.6 	88.28 	1929
01/22/2022       63 	      64.38 	226.76 	4.7 	        65.39 	1901
01/23/2022       47 	      54.95 	129.37 	6.0 	      60.62 	1277
01/24/2022       37 	      47.95 	58.17 	4.9 	       80.94 	987
01/25/2022	 35 	      32.72 	66.73 	8.3 	      86.80 	932
01/26/2022         51 	       73.04 	46.81 	8.8 	     129.14 	1366
01/27/2022	  34 	      55.24 	48.74 	6.4 	      54.81 	912
01/28/2022       48 	      79.37 	55.84 	10.6 	88.77 	1290
01/29/2022	 39 	      64.47 	39.57 	8.1    	83.00 	1065
01/30/2022        28 	      33.07 	38.51 	5.2 	       78.37 	761
01/31/2022	  34 	      44.58 	40.77 	4.3 	      90.66 	926
#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
02/01/2022       48 	      89.55 	31.13 	5.4 	       90.88 	1289
02/02/2022      49 	      80.36 	44.95       7.0 	     110.43 	1336
02/03/2022	31 	       51.00 	35.90 	6.7 	       62.02 	848
02/04/2022	34 	       39.73 	75.20 	10.3 	62.99 	920
02/05/2022	63 	 119.85 	55.52 	10.5 	102.02 	       1707
02/06/2022	64 	 105.00 	98.38 	2.8 	        95.43 	1724
02/07/2022       43 	 59.84 	 93.24 	6.0 	        75.85 	1163
02/08/2022       42 	 34.12 	154.06 	23.7 	60.32 	1130
02/09/2022       50 	 54.35 	153.71 	23.3 	78.92 	1348
#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
04/09/2022       100 	      54.35 	210.0 	23.3 	78.92 	2200
04/10/2022       110 	      54.36 	210.0 	23.3 	78.92 	2300
04/11/2022       98 	      54.35 	210.0 	23.3 	78.92 	2400
04/12/2022       105 	      55.35 	210.0 	23.3 	78.92 	1800
#date            RDI(%)   	Fat 	        Carbs 	Fiber 	Prot 	Cals
05/01/2022       8 	        7.17 	18.92 	3.1 	       21.93 	226
05/02/2022      37 	       57.02 	44.24 	6.7 	       77.09 	989
05/03/2022      41 	      63.82 	57.14 	4.8 	      74.85 	 1098



      